Trade Date,MASI,DSI,FSI 
2018-12-31,28983.53,21318.07,5265.12
2018-12-28,28983.53,21318.07,5265.12
2018-12-27,28458.05,21318.07,4771.16
2018-12-24,28983.53,21318.07,5265.12
2018-12-21,28976.74,21311.87,5265.12
2018-12-20,28983.53,21318.07,5265.12
2018-12-19,28965.41,21301.55,5265.12
2018-12-18,28514.77,21301.55,4841.51
2018-12-17,28230.47,21111.55,4769.67
2018-12-14,28186.79,21072.20,4769.67
2018-12-13,27918.13,21078.46,4510.68
2018-12-12,27918.13,21078.46,4510.68
2018-12-11,27671.09,20856.91,4506.88
2018-12-10,26930.97,20622.59,4052.91
2018-12-07,26572.93,20321.63,4026.50
2018-12-06,26371.07,20253.14,3907.36
2018-12-05,26224.37,20244.11,3778.77
2018-12-04,26395.89,20401.04,3778.77
2018-12-03,26432.74,20434.09,3778.77
2018-11-30,26803.80,20772.39,3778.77
2018-11-29,26840.11,20805.48,3778.77
2018-11-28,26867.24,20830.21,3778.77
2018-11-27,26867.21,20830.19,3778.77
2018-11-26,26867.02,20830.02,3778.77
2018-11-23,26370.35,20377.20,3778.77
2018-11-22,26869.29,20832.09,3778.77
2018-11-21,26869.29,20832.09,3778.77
2018-11-20,26854.74,20818.82,3778.77
2018-11-19,26719.53,20695.56,3778.77
2018-11-16,27048.50,20995.48,3778.77
2018-11-15,26757.27,20727.59,3781.25
2018-11-14,27528.07,20851.26,4378.27
2018-11-13,27495.90,20821.93,4378.27
2018-11-12,28258.07,20821.93,5094.72
2018-11-09,28686.33,20999.05,5314.67
2018-11-08,28553.33,20877.79,5314.67
2018-11-07,28683.42,20996.39,5314.67
2018-11-06,29470.13,20872.72,6181.70
2018-11-05,30542.65,20865.93,7196.88
2018-11-02,30620.09,20936.54,7196.88
2018-11-01,30633.68,20948.92,7196.88
2018-10-31,30622.36,20938.60,7196.88
2018-10-30,30821.89,21120.51,7196.88
2018-10-29,30819.01,21117.41,7197.38
2018-10-26,30819.01,21117.41,7197.38
2018-10-25,31995.59,21325.63,8088.69
2018-10-24,31674.02,21032.45,8088.69
2018-10-23,31622.02,20985.04,8088.69
2018-10-22,31940.68,21275.57,8088.69
2018-10-19,31866.27,21207.42,8088.69
2018-10-18,31223.09,20621.33,8088.69
2018-10-17,31582.44,20948.96,8088.69
2018-10-16,31267.86,20614.57,8137.74
2018-10-12,31260.83,20608.16,8137.74
2018-10-11,31493.42,20820.22,8137.74
2018-10-10,31386.59,20722.83,8137.74
